key,press_time,release_time,dwell_time,flight_time
s,1921.6,2086.5,164.9,103.3
e,2189.8,2313.5,123.7,194.1
c,2507.6,2674.1,166.5,97.2
u,2771.3,2938.7,167.4,4.2
r,2942.9,3072.6,129.7,-10.4
e,3062.2,3186.0,123.8,82.8
 ,3268.8,3392.8,124.0,1066.7
Backspace,4459.5,4548.8,89.3,231.3
p,4780.1,4899.8,119.7,24.6
a,4924.4,5058.1,133.7,489.1
s,5547.2,5675.6,128.4,105.8
s,5781.4,5892.6,111.2,457.1
w,6349.7,6516.9,167.2,102.3
o,6619.2,6747.9,128.7,116.6
r,6864.5,7002.5,138.0,394.0
d,7396.5,7563.4,166.9,399.7
1,7963.1,8128.4,165.3,96.8
2,8225.2,8363.3,138.1,88.2
3,8451.5,8586.9,135.4,0.0
